,text
0,"['presid', 'mr', 'obama', 'built', 'ten', 'foot', 'wall', 'around', 'c', 'mansion', 'compound', 'agre', 'total', 'necessari', 'safeti', 'secur', 'u', 'need', 'thing', 'slightli', 'larger', 'version']"
1,"['great', 'work', 'administr', 'holiday', 'save', 'coast', 'guard', 'pay', 'schumershutdown', 'thank', 'democrat', 'left', 'town', 'concern', 'safeti', 'secur', 'american']"
2,"['veteran', 'presid', 'trump', 'handl', 'border', 'secur', 'approv', 'rate', 'strong', 'leader', 'ap', 'poll', 'thank']"
3,"['turn', 'true', 'depart', 'justic', 'fbi', 'presid', 'obama', 'rig', 'investig', 'hillari', 'realli', 'turn', 'screw', 'trump', 'look', 'like', 'corrupt', 'amp', 'illeg', 'way', 'fact', 'whole', 'hoax', 'expos']"
4,"['absolut', 'noth', 'russian', 'collus', 'kimberley', 'strassel', 'wall', 'street', 'journal', 'russian', 'collus', 'fabric', 'greatest', 'hoax', 'histori', 'american', 'polit', 'russian', 'collus', 'hillari', 'democrat']"
5,"['call', 'year', 'worker', 'steve', 'moor', 'co', 'author', 'trumponom', 'inde', 'great', 'year', 'american', 'worker', 'best', 'job', 'market', 'year', 'lowest', 'unemploy', 'rate', 'ever', 'black', 'hispan', 'worker', 'big', 'wage', 'gain']"
6,"['naiv', 'ask', 'republican', 'get', 'approv', 'build', 'wall', 'last', 'year', 'senat', 'need', 'democrat', 'vote', 'give', 'us', 'none', 'border', 'secur', 'hard', 'way', 'shutdown', 'bad']"
7,"['children', 'question', 'sick', 'given', 'border', 'patrol', 'father', 'young', 'girl', 'said', 'fault', 'given', 'water', 'day', 'border', 'patrol', 'need', 'wall', 'end', 'work', 'hard', 'amp', 'get', 'littl', 'credit']"
8,"['death', 'children', 'other', 'border', 'strictli', 'fault', 'democrat', 'pathet', 'immigr', 'polici', 'allow', 'peopl', 'make', 'long', 'trek', 'think', 'enter', 'countri', 'illeg', 'wall', 'even', 'tri', 'two']"
9,"['long', 'good', 'call', 'presid', 'xi', 'china', 'deal', 'move', 'along', 'well', 'made', 'comprehens', 'cover', 'subject', 'area', 'point', 'disput', 'big', 'progress', 'made']"
10,"['white', 'hous', 'wait', 'democrat', 'come', 'make', 'deal', 'border', 'secur', 'hear', 'spend', 'much', 'time', 'presidenti', 'harass', 'littl', 'time', 'left', 'thing', 'like', 'stop', 'crime', 'militari']"
11,"['mueller', 'angri', 'democrat', 'recent', 'delet', 'approxim', 'text', 'messag', 'fbi', 'agent', 'lisa', 'page', 'lover', 'agent', 'peter', 'text', 'ask', 'invalu', 'truth', 'witch', 'hunt', 'hoax', 'total', 'obstruct', 'justic', 'text', 'demand']"
